Scientific name,Name status,Group,Source database
"Abditoporella  turrita    (Osburn, 1952)","accepted name","Animalia","WoRMS Bryozoa"
"Aberrodomus  candidus    Gordon, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Aberrodomus  pocillifer    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Aberrodomus  sinuatus    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Acanthodesiomorpha  problematica    d'Hondt, 1981","accepted name","Animalia","WoRMS Bryozoa"
"Acanthophragma  polaris    Hayward, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Acorania  enmediensis    López-Fé, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Actinopora  japonica    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Actinopora  philippinensis    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Actisecos  pulcher    Harmer, 1957","accepted name","Animalia","WoRMS Bryozoa"
"Actisecos  regularis    Canu & Bassler, 1927","accepted name","Animalia","WoRMS Bryozoa"
"Adelascopora  secunda    Hayward & Thorpe, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adelascopora  secunda  charcoti  d'Hondt, 1990","accepted name","Animalia","WoRMS Bryozoa"
"Adelascopora  stellifera    Moyano, 2000","accepted name","Animalia","WoRMS Bryozoa"
"Adenifera  armata    (Haswell, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  albida    Kirchenpauer, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  appendiculata    Busk, 1884","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  arborescens    Kirchenpauer, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  articulata    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  bipartita    Canu & Bassler, 1928","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  cellulosa    (MacGillivray, 1869)","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  costata    O'Donoghue, 1924","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  foliifera    Lamarck, 1816","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  foliifera  fascialis  Kirchenpauer, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  grisea    Lamouroux, 1816","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  macrothyris    Kirchenpauer, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Adeona  wilsoni    (MacGillivray, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  abdita    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  alia    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  aspera    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  atlantica    Busk, 1884","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  calveti    (Canu & Bassler, 1930)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  circumspecta    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  concinna    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  confusanea    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  conspicua    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  coralliformis    O'Donoghue, 1924","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  cracens    Hayward & Cook, 1979","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  cultrata    Hayward, 1981","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  damicornis    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  decipiens    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  distenta    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  distincta    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  elegans    Lu, Nie & Zhong in Lu, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  elegantula    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  expansa    O'Donoghue, 1924","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  extensa    Harmer, 1957","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  falcicula    Hayward, 1981","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  fuegensis    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  gibba    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  glypta    Marcus, 1922","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  guttata    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  haywardii    Amui, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  inaequalis    Waters, 1912","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  infirmata    Hayward & Cook, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  intricaria    Busk, 1884","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  lichenoides    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  ligulata    O'Donoghue, 1924","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  lobata    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  majuscula    Hayward & Cook, 1979","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  meridionalis    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  pallasii    (Heller, 1867)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  patagonica    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  pluscula    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  polystomella    (Reuss, 1848)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  purpurea    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  pygmaea    Levinsen, 1909","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  regularis    Busk, 1884","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  similis    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  spathulata    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonella  tuberosa    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  antilleana    Cheetham, Sanner & Jackson, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  arculifera    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  baccata    (Hutton, 1878)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  coscinophora    (Reuss, 1848)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  crosslandi    Waters, 1913","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  distoma    (Busk, 1858)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  falcifera    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  foliacea    (MacGillivray, 1886)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  hexangularis    (Okada, 1920)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  japonica    (Ortmann, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  meandrina    (O'Donoghue & de Watteville, 1944)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  multiporosa    Aristegui, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  parvipuncta    (MacGillivray, 1886)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  pentapora    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  portmarina    (Maplestone, 1913)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  sulcata    (Milne Edwards, 1836)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  tuberculata    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Adeonellopsis  unilamellosa    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Aequilumina  cavitis    Gontar, 2002","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  americana    d'Orbigny, 1851","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  anguina    (Linnaeus, 1758)","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  australis    Jullien, 1888","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  boninensis    Silén, 1941","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  capillaris    d'Hondt, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  crosslandi    Waters, 1910","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  curta    Jullien, 1888","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  dilatata    (Busk, 1851)","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  lepadiformis    Waters, 1906","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  ligulata    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  lineata    Jullien, 1882","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  longicollis    (Jullien, 1903)","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  paraligulata    Soule, Soule & Chaney, 1995","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  pseudoanguina    Soule, Soule & Chaney, 1995","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  sica    (Couch, 1844)","accepted name","Animalia","WoRMS Bryozoa"
"Aetea  truncata    (Landsborough, 1852)","accepted name","Animalia","WoRMS Bryozoa"
"Aethozoon  pellucidum    Hayward, 1978","accepted name","Animalia","WoRMS Bryozoa"
"Aeverrillia  armata    (Verrill, 1873)","accepted name","Animalia","WoRMS Bryozoa"
"Aeverrillia  setigera    (Hincks, 1887)","accepted name","Animalia","WoRMS Bryozoa"
"Afrindella  philippensis    (Kraepelin, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Afrindella  tanganyikae    (Rousselet, 1907)","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  antarctica    (Powell, 1967)","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  australis    Jullien, 1888","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  costata    (Powell, 1967)","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  floridana    Osburn, 1947","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  marsupium    (MacGillivray, 1869)","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  palliolata    (Canu & Bassler, 1928)","accepted name","Animalia","WoRMS Bryozoa"
"Aimulosia  uvulifera    (Osburn, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Akatopora  circumsaepta    (Uttley, 1951)","accepted name","Animalia","WoRMS Bryozoa"
"Akatopora  leucocypha    (Marcus, 1937)","accepted name","Animalia","WoRMS Bryozoa"
"Akatopora  tincta    (Hastings, 1930)","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidioides  mytili    (Dalyell, 1848)","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  albescens    Winston & Key, 1999","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  albidum    Alder, 1857","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  androsovae    d'Hondt, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  anglei    d'Hondt & Goyffon, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  antarcticum    Waters, 1904","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  argyllaceum    Castric-Fey, 1971","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  australe    d'Hondt & Moyano, 1979","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  candidum    Ryland, 1963","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  capronae    Winston & Håkansson, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  cellarioides    Calvet, 1900","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  chondroides    O'Donoghue & de Watteville, 1937","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  columbianum    O'Donoghue & O'Donoghue, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  condylocinereum    Porter, 2004","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  diaphanum    (Hudson) Lamouroux","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  diaphanum  alcilobatum  d'Hondt & Mawatari, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  disciforme    Smitt, 1872","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  duplex    Prouho, 1892","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  effusum    Norman, 1909","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  eightsi    Winston & Hayward, 1994","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  enteromorpha    Soule, 1951","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  epispiculum    Porter & Hayward, 2004","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  erectum    Silén, 1942","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  excavatum    Hincks, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  flabelliforme    Kirkpatrick, 1902","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  flustroides    Busk, 1886","accepted name","Animalia","WoRMS Bryozoa"
"Alcyonidium  foliaceum    Silén, 1942","accepted name","Animalia","WoRMS Bryozoa"
